timestamp,location,car_count,truck_count,bus_count,weather,accident_reported
2024-01-01 00:00:00,Oak Rd,47,9,6,Snow,0
2024-01-01 00:15:00,Pine St,55,16,7,Rain,0
2024-01-01 00:30:00,2nd Ave,42,12,4,Clear,0
2024-01-01 00:45:00,Oak Rd,52,13,11,Snow,0
2024-01-01 01:00:00,Elm Ave,58,16,2,Cloudy,0
2024-01-01 01:15:00,Pine St,43,20,6,Fog,0
2024-01-01 01:30:00,Pine St,46,15,3,Cloudy,0
2024-01-01 01:45:00,2nd Ave,49,15,3,Rain,0
2024-01-01 02:00:00,Cedar Ln,52,16,5,Clear,0
2024-01-01 02:15:00,Elm Ave,45,17,5,Snow,0
2024-01-01 02:30:00,Cedar Ln,49,16,7,Snow,0
2024-01-01 02:45:00,Main St,43,14,6,Cloudy,0
2024-01-01 03:00:00,Cedar Ln,52,20,4,Fog,0
2024-01-01 03:15:00,2nd Ave,52,11,3,Clear,0
2024-01-01 03:30:00,2nd Ave,46,17,7,Clear,1
2024-01-01 03:45:00,Main St,54,12,3,Fog,0
2024-01-01 04:00:00,Elm Ave,40,12,3,Cloudy,0
2024-01-01 04:15:00,Elm Ave,45,16,4,Fog,0
2024-01-01 04:30:00,Main St,46,8,5,Fog,0
2024-01-01 04:45:00,Cedar Ln,51,18,5,Fog,0
2024-01-01 05:00:00,Pine St,64,11,8,Rain,0
2024-01-01 05:15:00,Pine St,52,12,10,Fog,0
2024-01-01 05:30:00,Maple Dr,38,13,6,Rain,0
2024-01-01 05:45:00,Oak Rd,33,11,7,Clear,0
2024-01-01 06:00:00,2nd Ave,48,14,5,Snow,0
2024-01-01 06:15:00,Pine St,58,12,5,Clear,0
2024-01-01 06:30:00,2nd Ave,45,17,2,Fog,0
2024-01-01 06:45:00,Pine St,41,16,1,Cloudy,0
2024-01-01 07:00:00,Maple Dr,56,13,5,Rain,0
2024-01-01 07:15:00,5th Blvd,54,14,4,Clear,0
2024-01-01 07:30:00,2nd Ave,56,20,0,Fog,0
2024-01-01 07:45:00,2nd Ave,47,11,4,Fog,0
2024-01-01 08:00:00,Main St,59,12,5,Snow,0
2024-01-01 08:15:00,Cedar Ln,46,13,6,Snow,0
2024-01-01 08:30:00,Main St,46,20,4,Fog,0
2024-01-01 08:45:00,Maple Dr,55,14,7,Snow,0
2024-01-01 09:00:00,Elm Ave,60,24,3,Rain,0
2024-01-01 09:15:00,Cedar Ln,40,24,4,Clear,0
2024-01-01 09:30:00,Oak Rd,56,10,4,Snow,0
2024-01-01 09:45:00,Maple Dr,56,8,8,Snow,0
2024-01-01 10:00:00,2nd Ave,50,14,3,Snow,0
2024-01-01 10:15:00,Cedar Ln,46,13,5,Rain,0
2024-01-01 10:30:00,Oak Rd,61,11,7,Fog,0
2024-01-01 10:45:00,Pine St,48,14,5,Rain,1
2024-01-01 11:00:00,Elm Ave,44,10,5,Clear,0
2024-01-01 11:15:00,2nd Ave,45,15,6,Fog,0
2024-01-01 11:30:00,Oak Rd,63,15,4,Cloudy,0
2024-01-01 11:45:00,Pine St,53,17,5,Snow,0
2024-01-01 12:00:00,Pine St,57,18,8,Fog,0
2024-01-01 12:15:00,2nd Ave,60,17,5,Snow,0
2024-01-01 12:30:00,Oak Rd,46,9,2,Snow,0
2024-01-01 12:45:00,Main St,44,10,7,Rain,0
2024-01-01 13:00:00,Oak Rd,48,23,3,Cloudy,0
2024-01-01 13:15:00,Maple Dr,40,26,4,Rain,0
2024-01-01 13:30:00,Main St,65,15,4,Rain,0
2024-01-01 13:45:00,Cedar Ln,50,16,3,Rain,0
2024-01-01 14:00:00,Main St,69,11,7,Fog,0
2024-01-01 14:15:00,Elm Ave,50,18,5,Fog,0
2024-01-01 14:30:00,5th Blvd,45,20,1,Clear,0
